user_id,date,category,amount
e3382e2f,2023-01-01,Restaurants,30.39
e3382e2f,2023-01-02,Restaurants,37.2
e3382e2f,2023-01-02,Restaurants,39.94
e3382e2f,2023-01-03,Transport,7.79
e3382e2f,2023-01-03,Rent,14.16
e3382e2f,2023-01-04,Rent,36.62
e3382e2f,2023-01-04,Restaurants,35.43
e3382e2f,2023-01-04,Education,13.93
e3382e2f,2023-01-05,Market,43.26
e3382e2f,2023-01-08,Shopping,12.78
e3382e2f,2023-01-08,Education,9.36
e3382e2f,2023-01-08,Shopping,13.3
e3382e2f,2023-01-10,Entertainment,26.39
e3382e2f,2023-01-11,Shopping,37.43
e3382e2f,2023-01-11,Rent,42.27
e3382e2f,2023-01-11,Shopping,25.87
e3382e2f,2023-01-12,Shopping,29.37
e3382e2f,2023-01-14,Shopping,20.01
e3382e2f,2023-01-15,Market,25.9
e3382e2f,2023-01-16,Transport,28.68
e3382e2f,2023-01-16,Market,25.11
e3382e2f,2023-01-16,Rent,31.2
e3382e2f,2023-01-17,Market,21.37
e3382e2f,2023-01-17,Market,30.54
e3382e2f,2023-01-18,Shopping,19.78
e3382e2f,2023-01-18,Shopping,17.12
e3382e2f,2023-01-19,Education,24.59
e3382e2f,2023-01-19,Restaurants,37.35
e3382e2f,2023-01-19,Market,21.2
e3382e2f,2023-01-19,Restaurants,24.7
e3382e2f,2023-01-20,Rent,72.31
e3382e2f,2023-01-20,Market,49.26
e3382e2f,2023-01-21,Restaurants,25.34
e3382e2f,2023-01-24,Restaurants,25.95
e3382e2f,2023-01-24,Rent,44.14
e3382e2f,2023-01-25,Restaurants,28.89
e3382e2f,2023-01-26,Rent,18.83
e3382e2f,2023-01-27,Restaurants,28.09
e3382e2f,2023-01-28,Rent,33.14
e3382e2f,2023-01-29,Entertainment,19.41
e3382e2f,2023-01-30,Transport,11.48
e3382e2f,2023-01-31,Education,16.95
e3382e2f,2023-02-02,Entertainment,17.76
e3382e2f,2023-02-02,Transport,18.71
e3382e2f,2023-02-02,Shopping,23.18
e3382e2f,2023-02-04,Rent,12.26
e3382e2f,2023-02-04,Market,13.52
e3382e2f,2023-02-05,Entertainment,18.32
e3382e2f,2023-02-06,Rent,30.99
e3382e2f,2023-02-06,Entertainment,14.9
e3382e2f,2023-02-07,Transport,13.66
e3382e2f,2023-02-08,Restaurants,24.96
e3382e2f,2023-02-08,Shopping,17.66
e3382e2f,2023-02-09,Rent,34.77
e3382e2f,2023-02-10,Restaurants,56.39
e3382e2f,2023-02-10,Restaurants,26.96
e3382e2f,2023-02-12,Market,16.87
e3382e2f,2023-02-13,Transport,22.79
e3382e2f,2023-02-14,Rent,17.05
e3382e2f,2023-02-16,Restaurants,36.78
e3382e2f,2023-02-16,Transport,25.33
e3382e2f,2023-02-17,Shopping,22.97
e3382e2f,2023-02-19,Rent,21.35
e3382e2f,2023-02-19,Shopping,22.85
e3382e2f,2023-02-20,Market,25.9
e3382e2f,2023-02-20,Restaurants,19.45
e3382e2f,2023-02-20,Restaurants,40.68
e3382e2f,2023-02-21,Restaurants,41.79
e3382e2f,2023-02-21,Rent,48.67
e3382e2f,2023-02-22,Shopping,32.88
e3382e2f,2023-02-22,Transport,22.41
e3382e2f,2023-02-23,Entertainment,17.2
e3382e2f,2023-02-25,Shopping,18.81
e3382e2f,2023-02-25,Rent,34.91
e3382e2f,2023-02-26,Restaurants,41.18
e3382e2f,2023-02-27,Education,21.89
e3382e2f,2023-02-27,Restaurants,20.78
e3382e2f,2023-02-27,Restaurants,11.66
